a,b,co_enable,conflict
IsComplacent,IsPushover,4,2
IsCraven,IsQuitter,4,0
IsArrogant,IsPessimist,4,6
IsCruel,IsFinicky,4,1
IsCruel,IsImpatient,4,1
IsPessimist,IsSelfish,4,4
IsFollower,IsGregarious,4,9
IsApathetic,IsOblivious,4,3
IsHumble,IsObservant,4,1
IsObservant,IsObtuse,4,4
IsObservant,IsPushover,4,0
IsPushover,IsShy,4,1
IsAmbitious,IsCharismatic,4,11
IsArrogant,IsGenius,4,1
IsBrave,IsKind,4,3
IsComedian,IsKind,4,6
IsGenius,IsObservant,4,1
IsObservant,IsOptimist,4,3
IsArrogant,IsLoyal,4,2
IsArrogant,IsHumorless,4,4
IsAmbitious,IsDiligent,4,0
IsHumble,IsSelfless,4,3
IsCharismatic,IsPatient,4,1
IsAgliophobic,IsPessimist,4,0
IsKind,IsLustful,4,0
IsOptimist,IsSelfish,4,5
IsCharismatic,IsSelfless,4,0
IsAgliophobic,IsFollower,4,1
IsAgliophobic,IsObservant,4,0
IsCraven,IsObservant,4,0
IsAgliophobic,IsTrusting,4,0
IsApathetic,IsTrusting,4,4
IsAmbitious,IsSelfish,4,2
IsArrogant,IsLustful,4,3
IsGregarious,IsRepulsive,4,11
IsLustful,IsRepulsive,4,6
IsHumble,IsSelfish,3,10
IsApathetic,IsArrogant,3,21
IsComplacent,IsCraven,3,5
IsComplacent,IsFollower,3,4
IsComplacent,IsQuitter,3,0
IsFollower,IsQuitter,3,1
IsStrong,IsTough,3,0
IsComedian,IsObservant,3,1
IsFinicky,IsSelfish,3,0
IsFinicky,IsVengeful,3,0
IsImpatient,IsPessimist,3,0
IsImpatient,IsSelfish,3,2
IsSelfish,IsTreacherous,3,4
IsGlutton,IsGregarious,3,0
IsGregarious,IsPushover,3,2
IsGregarious,IsTrusting,3,0
IsApathetic,IsObservant,3,7
IsApathetic,IsObtuse,3,5
IsFollower,IsOblivious,3,9
IsFollower,IsObtuse,3,4
IsFollower,IsPatient,3,2
IsFollower,IsShy,3,4
IsOblivious,IsObtuse,3,4
IsPatient,IsPushover,3,1
IsAmbitious,IsGenius,3,1
IsAmbitious,IsKind,3,6
IsAmbitious,IsObservant,3,1
IsGenius,IsGregarious,3,0
IsGenius,IsOptimist,3,0
IsFinicky,IsLoyal,3,0
IsLoyal,IsPessimist,3,1
IsComedian,IsMasochist,3,0
IsGregarious,IsMasochist,3,1
IsCruel,IsHumorless,3,1
IsDiligent,IsFollower,3,1
IsDiligent,IsObservant,3,0
IsFollower,IsKind,3,5
IsKind,IsPushover,3,0
IsLeader,IsPatient,3,1
IsLeader,IsSelfless,3,0
IsPatient,IsSelfless,3,0
IsPushover,IsSelfless,3,2
IsAmbitious,IsFinicky,3,0
IsFinicky,IsOblivious,3,2
IsOblivious,IsRepulsive,3,1
IsOblivious,IsVengeful,3,1
IsPessimist,IsQuitter,3,1
IsOptimist,IsPatient,3,0
IsCraven,IsKind,3,3
IsGregarious,IsOblivious,3,15
IsGregarious,IsSelfish,3,9
IsKind,IsOblivious,3,13
IsKind,IsSelfish,3,12
IsKind,IsTrusting,3,0
IsLustful,IsOblivious,3,5
IsLustful,IsSelfish,3,1
IsOblivious,IsOptimist,3,6
IsSelfish,IsTrusting,3,2
IsBrave,IsSelfless,3,0
IsLustful,IsSelfless,3,1
IsAgliophobic,IsFinicky,3,0
IsAmbitious,IsCraven,3,9
IsAmbitious,IsLoyal,3,1
IsAmbitious,IsObtuse,3,3
IsAmbitious,IsPessimist,3,7
IsCraven,IsDiligent,3,1
IsCraven,IsFinicky,3,1
IsDiligent,IsPessimist,3,0
IsFinicky,IsObservant,3,0
IsObservant,IsPessimist,3,3
IsAgliophobic,IsApathetic,3,4
IsAgliophobic,IsPushover,3,0
IsApathetic,IsLoyal,3,3
IsLoyal,IsTrusting,3,1
IsObservant,IsTrusting,3,0
IsAgliophobic,IsQuitter,3,0
IsQuitter,IsTrusting,3,0
IsOptimist,IsSelfless,3,2
IsRepulsive,IsSelfish,3,0
IsComplacent,IsShy,3,1
IsComplacent,IsTrusting,3,2
IsShy,IsTrusting,3,4
IsAmbitious,IsGlutton,3,0
IsGlutton,IsOptimist,3,0
IsGlutton,IsSelfish,3,1
IsBeautiful,IsBrave,3,0
IsBeautiful,IsCharismatic,3,0
IsBeautiful,IsGregarious,3,0
IsBeautiful,IsLustful,3,0
IsPushover,IsSelfish,2,10
IsApathetic,IsBrave,2,7
IsApathetic,IsGregarious,2,12
IsApathetic,IsStubborn,2,6
IsBrave,IsStubborn,2,0
IsApathetic,IsImpatient,2,4
IsCraven,IsImpatient,2,1
IsImpatient,IsQuitter,2,4
IsCruel,IsPessimist,2,3
IsFinicky,IsTreacherous,2,3
IsImpatient,IsTreacherous,2,0
IsImpatient,IsVengeful,2,0
IsSelfish,IsVengeful,2,0
IsApathetic,IsPatient,2,6
IsHumble,IsOblivious,2,10
IsOblivious,IsObservant,2,11
IsOblivious,IsPushover,2,6
IsObservant,IsShy,2,3
IsObtuse,IsPushover,2,4
IsPatient,IsShy,2,1
IsArrogant,IsCharismatic,2,20
IsArrogant,IsKind,2,23
IsArrogant,IsObservant,2,5
IsBrave,IsGenius,2,0
IsCharismatic,IsGenius,2,2
IsComedian,IsGenius,2,0
IsGenius,IsKind,2,1
IsLoyal,IsSelfish,2,1
IsLoyal,IsStubborn,2,2
IsSelfish,IsStubborn,2,3
IsComedian,IsObtuse,2,2
IsGregarious,IsObtuse,2,4
IsForgiving,IsGregarious,2,0
IsForgiving,IsKind,2,1
IsLeader,IsObtuse,2,4
IsObtuse,IsOptimist,2,4
IsArrogant,IsDiligent,2,2
IsDiligent,IsOblivious,2,4
IsGenius,IsOblivious,2,5
IsDiligent,IsLeader,2,1
IsDiligent,IsPushover,2,3
IsFollower,IsSelfless,2,4
IsObservant,IsSelfless,2,1
IsApathetic,IsSelfish,2,7
IsImpatient,IsOblivious,2,2
IsImpatient,IsObtuse,2,1
IsObtuse,IsSelfish,2,0
IsArrogant,IsObtuse,2,7
IsHumorless,IsImpatient,2,0
IsImpatient,IsLeader,2,3
IsImpatient,IsRepulsive,2,0
IsObtuse,IsRepulsive,2,3
IsCruel,IsGenius,2,3
IsFinicky,IsRepulsive,2,1
IsGenius,IsRepulsive,2,1
IsOblivious,IsTreacherous,2,1
IsApathetic,IsPessimist,2,6
IsHonest,IsPessimist,2,0
IsHonest,IsQuitter,2,0
IsHonest,IsSelfish,2,0
IsOblivious,IsPessimist,2,7
IsHumorless,IsPessimist,2,0
IsCraven,IsGregarious,2,7
IsCraven,IsLustful,2,6
IsCraven,IsOblivious,2,7
IsCraven,IsSelfish,2,3
IsFollower,IsLustful,2,6
IsHumble,IsLustful,2,0
IsHumble,IsOptimist,2,1
IsLustful,IsTrusting,2,0
IsOblivious,IsTrusting,2,3
IsCharismatic,IsHumble,2,1
IsSelfless,IsTrusting,2,3
IsAgliophobic,IsAmbitious,2,5
IsAgliophobic,IsDiligent,2,0
IsAgliophobic,IsLoyal,2,1
IsAgliophobic,IsObtuse,2,0
IsAmbitious,IsFollower,2,11
IsCraven,IsLoyal,2,2
IsCraven,IsObtuse,2,0
IsDiligent,IsFinicky,2,0
IsDiligent,IsLoyal,2,1
IsDiligent,IsObtuse,2,4
IsFinicky,IsFollower,2,6
IsFinicky,IsObtuse,2,2
IsFollower,IsLoyal,2,4
IsFollower,IsPessimist,2,4
IsLoyal,IsObservant,2,0
IsLoyal,IsObtuse,2,1
IsObtuse,IsPessimist,2,2
IsAmbitious,IsTrusting,2,3
IsApathetic,IsFinicky,2,5
IsFinicky,IsTrusting,2,1
IsLoyal,IsPushover,2,3
IsPessimist,IsTrusting,2,1
IsApathetic,IsCruel,2,9
IsComplacent,IsLoyal,2,2
IsLoyal,IsRepulsive,2,0
IsLoyal,IsTreacherous,2,1
IsOptimist,IsStubborn,2,2
IsRepulsive,IsStubborn,2,0
IsObservant,IsQuitter,2,3
IsAgliophobic,IsComplacent,2,3
IsAgliophobic,IsHumble,2,1
IsAgliophobic,IsShy,2,1
IsCraven,IsShy,2,4
IsQuitter,IsShy,2,3
IsApathetic,IsKind,2,12
IsKind,IsShy,2,6
IsAmbitious,IsMasochist,2,1
IsAmbitious,IsSelfless,2,3
IsBrave,IsGlutton,2,0
IsBrave,IsMasochist,2,1
IsBrave,IsOblivious,2,5
IsBrave,IsSelfish,2,3
IsCharismatic,IsGlutton,2,1
IsCharismatic,IsMasochist,2,0
IsCharismatic,IsOblivious,2,12
IsCharismatic,IsSelfish,2,4
IsComedian,IsGlutton,2,0
IsComedian,IsOblivious,2,4
IsComedian,IsSelfish,2,0
IsComedian,IsSelfless,2,0
IsGlutton,IsKind,2,0
IsGlutton,IsLeader,2,1
IsGlutton,IsLustful,2,0
IsGlutton,IsMasochist,2,0
IsGlutton,IsOblivious,2,1
IsGlutton,IsSelfless,2,1
IsKind,IsMasochist,2,1
IsLeader,IsMasochist,2,0
IsLeader,IsOblivious,2,8
IsLeader,IsSelfish,2,4
IsLustful,IsMasochist,2,1
IsMasochist,IsOblivious,2,3
IsMasochist,IsOptimist,2,2
IsMasochist,IsSelfish,2,1
IsMasochist,IsSelfless,2,0
IsOblivious,IsSelfless,2,10
IsSelfish,IsSelfless,2,20
IsImpatient,IsStubborn,1,1
IsGregarious,IsStubborn,1,2
IsComplacent,IsImpatient,1,1
IsFollower,IsImpatient,1,8
IsHumble,IsImpatient,1,12
IsImpatient,IsPushover,1,11
IsFinicky,IsImpatient,1,2
IsPessimist,IsTreacherous,1,4
IsPessimist,IsVengeful,1,0
IsFollower,IsGlutton,1,3
IsFollower,IsSmoker,1,0
IsGlutton,IsPushover,1,1
IsGlutton,IsSmoker,1,0
IsGlutton,IsTrusting,1,0
IsGregarious,IsSmoker,1,0
IsPushover,IsSmoker,1,0
IsSmoker,IsTrusting,1,0
IsHumble,IsObtuse,1,4
IsOblivious,IsPatient,1,6
IsOblivious,IsShy,1,7
IsObtuse,IsPatient,1,3
IsObtuse,IsShy,1,3
IsBrave,IsObservant,1,1
IsGenius,IsLeader,1,0
IsFinicky,IsStubborn,1,0
IsPessimist,IsStubborn,1,2
IsGenius,IsMasochist,1,1
IsGenius,IsObtuse,1,6
IsMasochist,IsObservant,1,1
IsMasochist,IsObtuse,1,1
IsComedian,IsForgiving,1,5
IsForgiving,IsLeader,1,1
IsForgiving,IsObtuse,1,1
IsForgiving,IsOptimist,1,0
IsKind,IsObtuse,1,4
IsHumorless,IsSelfish,1,0
IsAmbitious,IsHumorless,1,4
IsDiligent,IsGenius,1,2
IsDiligent,IsHumorless,1,1
IsGenius,IsHumorless,1,2
IsHumorless,IsOblivious,1,1
IsDiligent,IsGregarious,1,0
IsDiligent,IsHumble,1,5
IsDiligent,IsKind,1,0
IsDiligent,IsPatient,1,0
IsDiligent,IsSelfless,1,0
IsFollower,IsLeader,1,10
IsHumble,IsLeader,1,4
IsLeader,IsPushover,1,3
IsCruel,IsLeader,1,3
IsCruel,IsObtuse,1,4
IsHumorless,IsLeader,1,6
IsHumorless,IsObtuse,1,3
IsHumorless,IsRepulsive,1,3
IsFinicky,IsGenius,1,1
IsGenius,IsVengeful,1,0
IsArrogant,IsChaste,1,4
IsChaste,IsCruel,1,0
IsChaste,IsFinicky,1,0
IsChaste,IsOblivious,1,0
IsChaste,IsRepulsive,1,4
IsChaste,IsTreacherous,1,0
IsChaste,IsVengeful,1,0
IsApathetic,IsHonest,1,1
IsHonest,IsOblivious,1,1
IsOblivious,IsQuitter,1,5
IsArrogant,IsQuitter,1,14
IsCruel,IsQuitter,1,3
IsHumorless,IsQuitter,1,1
IsAgliophobic,IsHumorless,1,0
IsAgliophobic,IsKind,1,0
IsCraven,IsHumorless,1,0
IsHumorless,IsKind,1,5
IsKind,IsPessimist,1,9
IsCraven,IsOptimist,1,11
IsFollower,IsOptimist,1,9
IsFollower,IsSelfish,1,11
IsOptimist,IsTrusting,1,3
IsBrave,IsCraven,1,12
IsBrave,IsFollower,1,9
IsBrave,IsForgiving,1,0
IsBrave,IsHumble,1,3
IsBrave,IsPatient,1,0
IsBrave,IsPushover,1,3
IsBrave,IsTrusting,1,4
IsCharismatic,IsCraven,1,3
IsCharismatic,IsFollower,1,3
IsCharismatic,IsForgiving,1,0
IsCharismatic,IsPushover,1,0
IsCharismatic,IsTrusting,1,0
IsCraven,IsForgiving,1,0
IsCraven,IsPatient,1,1
IsCraven,IsSelfless,1,5
IsFollower,IsForgiving,1,0
IsForgiving,IsHumble,1,1
IsForgiving,IsLustful,1,0
IsForgiving,IsPatient,1,0
IsForgiving,IsPushover,1,1
IsForgiving,IsSelfless,1,1
IsForgiving,IsTrusting,1,1
IsLustful,IsPatient,1,0
IsLustful,IsPushover,1,0
IsPatient,IsTrusting,1,0
IsAgliophobic,IsArrogant,1,9
IsArrogant,IsCraven,1,14
IsArrogant,IsFollower,1,21
IsAgliophobic,IsOblivious,1,4
IsAmbitious,IsApathetic,1,18
IsAmbitious,IsPushover,1,9
IsApathetic,IsDiligent,1,6
IsDiligent,IsTrusting,1,0
IsFinicky,IsPushover,1,5
IsLoyal,IsOblivious,1,1
IsObtuse,IsTrusting,1,0
IsPessimist,IsPushover,1,2
IsApathetic,IsGenius,1,3
IsApathetic,IsOptimist,1,12
IsApathetic,IsRepulsive,1,16
IsApathetic,IsTreacherous,1,8
IsArrogant,IsComplacent,1,17
IsBrave,IsComplacent,1,6
IsBrave,IsCruel,1,1
IsBrave,IsLoyal,1,1
IsBrave,IsTreacherous,1,1
IsComplacent,IsCruel,1,6
IsComplacent,IsGenius,1,2
IsComplacent,IsOptimist,1,5
IsComplacent,IsRepulsive,1,11
IsComplacent,IsStubborn,1,6
IsComplacent,IsTreacherous,1,5
IsCruel,IsLoyal,1,0
IsCruel,IsOptimist,1,7
IsCruel,IsStubborn,1,0
IsGenius,IsLoyal,1,1
IsGenius,IsStubborn,1,0
IsGenius,IsTreacherous,1,2
IsLoyal,IsOptimist,1,3
IsOptimist,IsTreacherous,1,5
IsStubborn,IsTreacherous,1,2
IsAgliophobic,IsHonest,1,0
IsAgliophobic,IsSelfish,1,0
IsCraven,IsHonest,1,0
IsFinicky,IsHonest,1,0
IsFinicky,IsQuitter,1,3
IsHonest,IsObservant,1,0
IsHonest,IsTrusting,1,0
IsObservant,IsSelfish,1,3
IsGenius,IsHumble,1,3
IsGenius,IsPatient,1,0
IsGenius,IsSelfless,1,0
IsComplacent,IsObservant,1,2
IsArrogant,IsTrusting,1,7
IsRepulsive,IsTrusting,1,2
IsTreacherous,IsTrusting,1,4
IsApathetic,IsSelfless,1,6
IsComplacent,IsKind,1,1
IsComplacent,IsSelfless,1,0
IsHumble,IsLoyal,1,3
IsKind,IsLoyal,1,1
IsLoyal,IsSelfless,1,2
IsLoyal,IsShy,1,2
IsSelfless,IsShy,1,3
IsHonest,IsSelfless,1,2
IsCharismatic,IsVengeful,1,11
IsGregarious,IsVengeful,1,4
IsLeader,IsVengeful,1,0
IsLustful,IsVengeful,1,2
IsAmbitious,IsStubborn,1,0
IsGlutton,IsObtuse,1,0
IsGlutton,IsRepulsive,1,0
IsGlutton,IsStubborn,1,1
IsObtuse,IsStubborn,1,1
IsAmbitious,IsImpatient,1,1
IsCraven,IsLeader,1,9
IsDiligent,IsImpatient,1,4
IsLeader,IsPessimist,1,9
IsArrogant,IsHumble,1,30
IsArrogant,IsPatient,1,9
IsArrogant,IsShy,1,27
IsCruel,IsGregarious,1,13
IsCruel,IsHumble,1,19
IsCruel,IsKind,1,25
IsCruel,IsPatient,1,8
IsCruel,IsShy,1,15
IsFinicky,IsGregarious,1,3
IsFinicky,IsHumble,1,4
IsFinicky,IsKind,1,3
IsFinicky,IsPatient,1,0
IsFinicky,IsShy,1,4
IsGregarious,IsShy,1,15
IsCharismatic,IsRepulsive,1,22
IsCruel,IsSelfless,0,9
IsAmbitious,IsHumble,0,15
IsHumble,IsStubborn,0,9
IsArrogant,IsPushover,0,20
IsPushover,IsStubborn,0,11
IsAmbitious,IsQuitter,0,11
IsDiligent,IsQuitter,0,4
IsQuitter,IsSelfless,0,5
IsQuitter,IsStubborn,0,8
IsDiligent,IsSelfish,0,4
IsArrogant,IsForgiving,0,15
IsForgiving,IsImpatient,0,5
IsImpatient,IsKind,0,11
IsImpatient,IsPatient,0,11
IsImpatient,IsShy,0,7
IsForgiving,IsStubborn,0,1
IsKind,IsStubborn,0,4
IsPatient,IsStubborn,0,1
IsShy,IsStubborn,0,7
IsBrave,IsQuitter,0,6
IsBrave,IsShy,0,11
IsComplacent,IsGregarious,0,5
IsGregarious,IsLoyal,0,2
IsGregarious,IsQuitter,0,6
IsCraven,IsStubborn,0,6
IsFollower,IsStubborn,0,8
IsAmbitious,IsComplacent,0,19
IsComplacent,IsDiligent,0,6
IsComplacent,IsFinicky,0,4
IsComplacent,IsPatient,0,1
IsPatient,IsQuitter,0,4
IsApathetic,IsStrong,0,3
IsCraven,IsStrong,0,3
IsFeeble,IsStrong,0,3
IsFragile,IsStrong,0,3
IsKind,IsStrong,0,3
IsPushover,IsStrong,0,3
IsShy,IsStrong,0,3
IsApathetic,IsTough,0,3
IsCraven,IsTough,0,3
IsFeeble,IsTough,0,3
IsFragile,IsTough,0,3
IsKind,IsTough,0,3
IsPushover,IsTough,0,3
IsShy,IsTough,0,3
IsCharismatic,IsShy,0,9
IsComedian,IsShy,0,15
IsLeader,IsShy,0,14
IsArrogant,IsSelfless,0,10
IsArrogant,IsTidy,0,1
IsCruel,IsFollower,0,11
IsCruel,IsForgiving,0,14
IsCruel,IsPushover,0,9
IsCruel,IsTidy,0,1
IsFinicky,IsForgiving,0,4
IsFinicky,IsOptimist,0,6
IsFinicky,IsSelfless,0,3
IsFinicky,IsTidy,0,1
IsImpatient,IsOptimist,0,4
IsImpatient,IsSelfless,0,6
IsImpatient,IsTidy,0,1
IsForgiving,IsPessimist,0,2
IsOptimist,IsPessimist,0,21
IsPessimist,IsSelfless,0,7
IsPessimist,IsShy,0,3
IsPessimist,IsTidy,0,1
IsForgiving,IsSelfish,0,3
IsSelfish,IsShy,0,10
IsSelfish,IsTidy,0,1
IsFollower,IsTreacherous,0,8
IsForgiving,IsTreacherous,0,11
IsKind,IsTreacherous,0,17
IsPushover,IsTreacherous,0,7
IsQuitter,IsTreacherous,0,2
IsSelfless,IsTreacherous,0,5
IsShy,IsTreacherous,0,13
IsTidy,IsTreacherous,0,1
IsFollower,IsVengeful,0,8
IsForgiving,IsVengeful,0,12
IsKind,IsVengeful,0,11
IsOptimist,IsVengeful,0,1
IsPushover,IsVengeful,0,7
IsQuitter,IsVengeful,0,3
IsSelfless,IsVengeful,0,3
IsShy,IsVengeful,0,13
IsTidy,IsVengeful,0,1
IsFollower,IsTemperate,0,1
IsFinicky,IsGlutton,0,2
IsGlutton,IsImpatient,0,1
IsGlutton,IsTemperate,0,2
IsGregarious,IsImpatient,0,8
IsGregarious,IsTemperate,0,1
IsPushover,IsTemperate,0,1
IsFinicky,IsSmoker,0,1
IsImpatient,IsSmoker,0,1
IsOblivious,IsSmoker,0,1
IsSmoker,IsTemperate,0,1
IsImpatient,IsTrusting,0,2
IsTemperate,IsTrusting,0,1
IsApathetic,IsComedian,0,11
IsComedian,IsFollower,0,7
IsFollower,IsRepulsive,0,13
IsComedian,IsHumble,0,6
IsHumble,IsRepulsive,0,17
IsImpatient,IsObservant,0,5
IsObservant,IsRepulsive,0,3
IsObtuse,IsQuitter,0,2
IsComedian,IsPatient,0,1
IsPatient,IsRepulsive,0,9
IsComedian,IsPushover,0,1
IsPushover,IsRepulsive,0,10
IsRepulsive,IsShy,0,20
IsAmbitious,IsShy,0,18
IsBrave,IsHumorless,0,5
IsBrave,IsObtuse,0,2
IsApathetic,IsCharismatic,0,6
IsCharismatic,IsHumorless,0,5
IsCharismatic,IsObtuse,0,3
IsComedian,IsHumorless,0,9
IsGenius,IsShy,0,3
IsGregarious,IsHumorless,0,9
IsApathetic,IsLeader,0,14
IsHumorless,IsObservant,0,2
IsHumorless,IsOptimist,0,7
IsOptimist,IsShy,0,11
IsArrogant,IsGlutton,0,2
IsGlutton,IsLoyal,0,1
IsGlutton,IsPessimist,0,4
IsGregarious,IsPessimist,0,12
IsSelfless,IsStubborn,0,3
IsCruel,IsMasochist,0,2
IsHumorless,IsMasochist,0,1
IsCruel,IsObservant,0,6
IsComedian,IsFinicky,0,1
IsComedian,IsPessimist,0,7
IsApathetic,IsForgiving,0,3
IsForgiving,IsHumorless,0,2
IsForgiving,IsShy,0,3
IsFinicky,IsLeader,0,1
IsFollower,IsHumorless,0,3
IsHumble,IsHumorless,0,4
IsHumorless,IsPushover,0,2
IsHumorless,IsSelfless,0,1
IsHumorless,IsShy,0,3
IsCharismatic,IsDiligent,0,1
IsGenius,IsQuitter,0,3
IsComplacent,IsHumorless,0,1
IsComplacent,IsOblivious,0,4
IsPatient,IsSelfish,0,5
IsObtuse,IsSelfless,0,3
IsCharismatic,IsCruel,0,17
IsCruel,IsDiligent,0,2
IsApathetic,IsHumorless,0,2
IsHumorless,IsPatient,0,1
IsCharismatic,IsImpatient,0,6
IsDiligent,IsRepulsive,0,2
IsForgiving,IsRepulsive,0,12
IsKind,IsRepulsive,0,15
IsAmbitious,IsForgiving,0,6
IsCharismatic,IsFinicky,0,3
IsFollower,IsGenius,0,3
IsForgiving,IsGenius,0,1
IsGenius,IsPushover,0,3
IsForgiving,IsOblivious,0,3
IsQuitter,IsRepulsive,0,5
IsApathetic,IsVengeful,0,9
IsComplacent,IsVengeful,0,7
IsHumble,IsVengeful,0,12
IsObtuse,IsVengeful,0,1
IsCharismatic,IsChaste,0,6
IsChaste,IsForgiving,0,2
IsChaste,IsHumble,0,2
IsChaste,IsKind,0,2
IsChaste,IsLustful,0,9
IsChaste,IsShy,0,1
IsCruel,IsLustful,0,3
IsFinicky,IsLustful,0,1
IsCharismatic,IsTreacherous,0,13
IsHumble,IsTreacherous,0,15
IsLustful,IsTreacherous,0,4
IsApathetic,IsLiar,0,1
IsHonest,IsLiar,0,2
IsHonest,IsOptimist,0,2
IsLiar,IsOblivious,0,1
IsLiar,IsPessimist,0,2
IsLiar,IsQuitter,0,2
IsOptimist,IsQuitter,0,9
IsLiar,IsSelfish,0,2
IsCharismatic,IsPessimist,0,7
IsCharismatic,IsQuitter,0,3
IsKind,IsQuitter,0,3
IsLeader,IsQuitter,0,6
IsPatient,IsPessimist,0,3
IsHumble,IsPessimist,0,4
IsAgliophobic,IsBrave,0,7
IsAgliophobic,IsComedian,0,4
IsAgliophobic,IsCruel,0,5
IsAgliophobic,IsOptimist,0,8
IsAgliophobic,IsTreacherous,0,5
IsComedian,IsCraven,0,6
IsCraven,IsCruel,0,7
IsCraven,IsTreacherous,0,7
IsHumorless,IsTreacherous,0,1
IsBrave,IsPessimist,0,9
IsCraven,IsMasochist,0,5
IsFollower,IsMasochist,0,5
IsGregarious,IsTreacherous,0,9
IsHumble,IsMasochist,0,2
IsApathetic,IsLustful,0,6
IsLustful,IsPessimist,0,7
IsLustful,IsShy,0,9
IsLustful,IsStubborn,0,1
IsOblivious,IsStubborn,0,1
IsCruel,IsTrusting,0,4
IsLeader,IsTrusting,0,3
IsMasochist,IsTrusting,0,3
IsStubborn,IsTrusting,0,5
IsBrave,IsChaste,0,8
IsBrave,IsImpatient,0,1
IsBrave,IsVengeful,0,1
IsChaste,IsCraven,0,1
IsCraven,IsRepulsive,0,8
IsCraven,IsVengeful,0,4
IsChaste,IsFollower,0,1
IsChaste,IsGregarious,0,8
IsImpatient,IsLustful,0,1
IsChaste,IsPatient,0,1
IsPatient,IsTreacherous,0,7
IsPatient,IsVengeful,0,4
IsChaste,IsPushover,0,1
IsChaste,IsSelfless,0,1
IsRepulsive,IsSelfless,0,5
IsChaste,IsTrusting,0,1
IsTrusting,IsVengeful,0,2
IsAgliophobic,IsRepulsive,0,6
IsAgliophobic,IsVengeful,0,3
IsDiligent,IsOptimist,0,3
IsComplacent,IsObtuse,0,4
IsComplacent,IsPessimist,0,4
IsAgliophobic,IsGenius,0,2
IsAgliophobic,IsMasochist,0,2
