move,title,src,opener,gate_chance,gate_and,enabled_by,forbidden_by,family,family_name,valence_them,valence_us,needs_us,needs_them,rel_them_sees_us
SOCAskFamilyAcceptParents3,Talk about mother.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptParents4,Talk about being alone.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptParents5,Talk about being alone.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptParents6,Talk about being alone.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptParents7,Talk about being alone.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptParents8,Talk about being alone.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptSiblings1,Talk about having no siblings.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptSiblings2,Talk about having many siblings.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptSiblings3,Talk about being close with siblings.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptSiblings4,Talk about being close with siblings.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyAcceptSiblings5,Talk about being close with siblings.,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskFamilyDeny,Refuse to talk about it.,interactions2.json,False,,True,,,7,us:Privacy- them:Achievement+,0.0,0.0,"{""Privacy"": -6.0, ""Family"": 6.0}",{},
SOCAskHome,Ask About Home,interactions2.json,True,1.0,True,,,2,us:Intimacy- us:Privacy+,-12.0,-12.0,"{""Family"": -12.0, ""Intimacy"": -12.0, ""Privacy"": 12.0}","{""Family"": -12.0, ""Intimacy"": -12.0, ""Privacy"": 12.0}",
SOCAskHomeAcceptEarth,Say You Are From Earth,interactions2.json,False,1.0,False,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeAcceptJupiter,Say You Are from Jupiter System,interactions2.json,False,1.0,False,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeAcceptMars,Say You are From Mars,interactions2.json,False,1.0,False,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeAcceptVenus,Say you are from Venus,interactions2.json,False,1.0,False,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeDeny,Refuse to Talk About It.,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeDetailEarth,Ask What Life is Like on Earth,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeDetailEarthAccept1,Describe the Best Parts of Earth,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Family"": -12.0, ""Privacy"": 12.0}",{},
SOCAskHomeDetailEarthAccept2,Describe the Worst Parts of Earth,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Family"": -12.0, ""Privacy"": 12.0}",{},
SOCAskHomeDetailEarthAccept3,Share a Childhood Memory from Earth,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeDetailJupiter,Ask What Region They are From,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeDetailJupiterAcceptEuropa1,Talk About the Best Parts of Europa,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Family"": -12.0, ""Privacy"": 12.0}",{},
SOCAskHomeDetailJupiterAcceptEuropa2,Talk About the Worst parts of Europa,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Family"": -12.0, ""Privacy"": 12.0}",{},
SOCAskHomeDetailJupiterAcceptEuropa3,Describe a Memory From Europa,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeDetailJupiterAcceptGanymede1,Describe the Best Parts of Ganymede,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Family"": -12.0, ""Privacy"": 12.0}",{},
SOCAskHomeDetailJupiterAcceptGanymede2,Describe the Worst Parts of Ganymede,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Family"": -12.0, ""Privacy"": 12.0}",{},
SOCAskHomeDetailJupiterAcceptGanymede3,Describe a Memory from Ganymede,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeDetailMars,Ask What Life is Like on Mars,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeDetailMarsAccept1,Describe Growing Up on Mars,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Family"": -12.0, ""Privacy"": 12.0}",{},
SOCAskHomeDetailMarsAccept2,Describe the Worst Parts of Mars,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Family"": -12.0, ""Privacy"": 12.0}",{},
SOCAskHomeDetailMarsAccept3,Describe a Memory from Mars,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeDetailVenus,Ask What Life is Like on Venus,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHomeDetailVenusAccept1,Describe Growing Up on Venus,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Family"": -12.0, ""Privacy"": 12.0}",{},
SOCAskHomeDetailVenusAccept2,Describe the Worst Parts of Venus,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,0.0,0.0,"{""Family"": -12.0, ""Privacy"": 12.0}",{},
SOCAskHomeDetailVenusAccept3,Describe a Memory from Venus,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCAskHowDoing,Ask How They Are,interactions_social_core.json,True,1.0,False,,,3,us:Altruism- them:Security-,0.0,0.0,"{""Achievement"": 6.0, ""Altruism"": -6.0}","{""Altruism"": 6.0, ""SelfRespect"": -6.0}",
SOCAskHug,Ask for Hug,interactions2.json,True,0.5,False,IsCraven;IsFollower;IsGregarious;IsHumble;IsKind;IsLustful;IsOblivious;IsOptimist;IsSelfish;IsTrusting,IsApathetic;IsArrogant;IsBrave;IsCruel;IsLeader;IsMasochist;IsPessimist;IsSelfless;IsShy;IsStubborn;IsTreacherous,2,us:Intimacy- us:Privacy+,-15.0,-18.0,"{""Contact"": -6.0, ""Family"": -6.0, ""Intimacy"": -3.0, ""Meaning"": -3.0, ""Privacy"": 3.0, ""Security"": -3.0}","{""Contact"": -3.0, ""Esteem"": -3.0, ""Family"": -6.0, ""Intimacy"": -6.0, ""Privacy"": 6.0, ""SelfRespect"": -3.0}",
SOCBackAwaySlow,Back Away Slowly,interactions2.json,False,0.75,False,,,0,them:Esteem+ them:SelfRespect+,21.0,6.0,"{""Altruism"": 6.0, ""Family"": 3.0, ""Intimacy"": 6.0, ""Privacy"": -3.0, ""Security"": -6.0}","{""Achievement"": 3.0, ""Altruism"": -3.0, ""Contact"": 3.0, ""Esteem"": 6.0, ""Family"": 6.0, ""SelfRespect"": 6.0}",
SOCBackOff,Back Off!,interactions2.json,False,1.0,False,,IsPushover,0,them:Esteem+ them:SelfRespect+,21.0,0.0,"{""Altruism"": 6.0, ""Autonomy"": -6.0, ""Family"": 3.0, ""Intimacy"": 3.0, ""Privacy"": -6.0}","{""Altruism"": -3.0, ""Esteem"": 6.0, ""Family"": 3.0, ""Privacy"": 3.0, ""Security"": 6.0, ""SelfRespect"": 6.0}",
SOCBadmouthEnemy,Badmouth Your Enemies,interactions2.json,True,1.0,True,,,8,them:Altruism+ us:SelfRespect-,-12.0,-12.0,"{""Esteem"": 12.0, ""SelfRespect"": -12.0, ""Family"": -12.0}","{""Altruism"": 12.0, ""SelfRespect"": -12.0, ""Family"": -12.0}",
SOCBadmouthEnemyAgree,Agree with Badmouth,interactions2.json,False,,True,,,1,us:Esteem- us:Meaning-,-24.0,-24.0,"{""Esteem"": -12.0, ""Family"": -12.0}","{""Esteem"": -12.0, ""Family"": -12.0}",
SOCBadmouthEnemyAskAbout,Ask About Who They are Badmouthing,interactions2.json,False,,True,,,8,them:Altruism+ us:SelfRespect-,-12.0,-18.0,"{""SelfRespect"": -12.0, ""Contact"": -6.0}","{""Altruism"": 12.0, ""SelfRespect"": -12.0, ""Family"": -12.0}",
SOCBadmouthEnemyAskAboutAnswerLiar,Label Your Enemy as a Liar,interactions2.json,False,,True,,,0,them:Esteem+ them:SelfRespect+,0.0,-12.0,"{""Altruism"": 12.0, ""SelfRespect"": -12.0, ""Meaning"": -12.0}",{},
SOCBadmouthEnemyAskAboutAnswerPredator,Label Your Enemy as a Predator,interactions2.json,False,,True,,,0,them:Esteem+ them:SelfRespect+,0.0,-12.0,"{""Altruism"": 12.0, ""SelfRespect"": -12.0, ""Meaning"": -12.0}",{},
SOCBadmouthEnemyAskAboutAnswerScold,Label Your Enemy as a Scold,interactions2.json,False,,True,,,0,them:Esteem+ them:SelfRespect+,0.0,-12.0,"{""Altruism"": 12.0, ""SelfRespect"": -12.0, ""Meaning"": -12.0}",{},
SOCBadmouthEnemyDisagree,Disagree with Badmouth,interactions2.json,False,,True,,,8,them:Altruism+ us:SelfRespect-,36.0,-12.0,"{""SelfRespect"": -24.0, ""Esteem"": 12.0}","{""Altruism"": 24.0, ""SelfRespect"": 12.0}",
SOCBawdyCommentaryMen,Muse About Attractive Men,interactions_relationships.json,True,1.0,True,,,2,us:Intimacy- us:Privacy+,0.0,3.0,"{""Intimacy"": -6.0, ""Achievement"": 6.0, ""Privacy"": 3.0}",{},
SOCBawdyCommentaryNB,Muse About Attractive People,interactions_relationships.json,True,1.0,True,,,2,us:Intimacy- us:Privacy+,0.0,3.0,"{""Intimacy"": -6.0, ""Achievement"": 6.0, ""Privacy"": 3.0}",{},
SOCBawdyCommentaryWomen,Muse About Attractive Women,interactions_relationships.json,True,1.0,True,,,2,us:Intimacy- us:Privacy+,0.0,3.0,"{""Intimacy"": -6.0, ""Achievement"": 6.0, ""Privacy"": 3.0}",{},
SOCBegMercy,Beg for Mercy,interactions_combat.json,False,1.0,True,,,3,us:Altruism- them:Security-,-6.0,12.0,"{""Autonomy"": 6.0, ""SelfRespect"": 6.0}","{""Security"": -6.0}",
SOCBlank,Continue,interactions.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCBragToEnemy1,Brag About New Home,interactions2.json,False,,True,,,0,them:Esteem+ them:SelfRespect+,12.0,0.0,"{""Intimacy"": 6.0, ""Altruism"": 6.0, ""SelfRespect"": -12.0}","{""Esteem"": 12.0}",
SOCBragToEnemy2,Brag About New Job,interactions2.json,False,,True,,,1,us:Esteem- us:Meaning-,-6.0,-6.0,"{""Intimacy"": 6.0, ""Esteem"": -12.0}","{""Intimacy"": 6.0, ""Esteem"": -12.0}",
SOCBragToEnemy3,Brag About New Relationship,interactions2.json,False,,True,,,0,them:Esteem+ them:SelfRespect+,22.0,-6.0,"{""Altruism"": 6.0, ""Intimacy"": -12.0}","{""Esteem"": 16.0, ""Intimacy"": 6.0}",
SOCBragToEnemy4,Brag About New Ship,interactions2.json,False,,True,,,2,us:Intimacy- us:Privacy+,6.0,-6.0,"{""Esteem"": 6.0, ""Contact"": -12.0}","{""Meaning"": 6.0}",
SOCBreakUp,Sever Romantic Loop,interactions_relationships.json,True,1.0,True,,,-1,no-effect,0.0,0.0,{},{},RELPartnerEx
SOCBreakUpEasy,Sever Romantic Loop,interactions_relationships.json,True,1.0,True,,,-1,no-effect,0.0,0.0,{},{},RELPartnerEx
SOCBreakUpPlayer,Sever Romantic Loop,interactions_relationships.json,True,1.0,True,,,-1,no-effect,0.0,0.0,{},{},RELPartnerEx
SOCBreakoutBanter,Banter: Breakout,interactions2.json,True,0.8,False,IsCharismatic;IsGregarious;IsLeader,IsShy,2,us:Intimacy- us:Privacy+,-21.0,-18.0,"{""Contact"": -12.0, ""Family"": -6.0, ""Meaning"": -3.0, ""Privacy"": 3.0}","{""Contact"": -12.0, ""Esteem"": -6.0, ""Family"": -3.0, ""Privacy"": 3.0, ""SelfRespect"": -3.0}",
SOCBreakoutDidntCatchGame,Didn't Catch Game,interactions2.json,False,1.0,False,,,2,us:Intimacy- us:Privacy+,6.0,6.0,"{""Achievement"": 3.0, ""Contact"": -6.0, ""Esteem"": 3.0, ""Meaning"": 3.0, ""Privacy"": 3.0}","{""Achievement"": 3.0, ""Contact"": -6.0, ""Meaning"": 3.0, ""Privacy"": 3.0, ""SelfRespect"": 3.0}",
SOCBreakoutFumble,Pretend to Fumble.,interactions2.json,False,0.75,False,,,2,us:Intimacy- us:Privacy+,-21.0,-18.0,"{""Contact"": -12.0, ""Family"": -6.0, ""Meaning"": -3.0, ""Privacy"": 3.0}","{""Contact"": -12.0, ""Esteem"": -3.0, ""Family"": -6.0, ""Privacy"": 3.0, ""SelfRespect"": -3.0}",RELAcquaintanceChance
SOCBreakoutPretendCatch,Pretend to Catch,interactions2.json,False,0.75,False,,,2,us:Intimacy- us:Privacy+,-18.0,-18.0,"{""Contact"": -12.0, ""Family"": -6.0, ""SelfRespect"": -3.0, ""Privacy"": 3.0}","{""Contact"": -12.0, ""Esteem"": -3.0, ""Family"": -6.0, ""Privacy"": 3.0}",RELAcquaintanceChance
SOCBreakoutShootersSuck,Shooters suck. Go Warriors!,interactions2.json,False,0.75,False,,,2,us:Intimacy- us:Privacy+,-21.0,-18.0,"{""Contact"": -12.0, ""Family"": -6.0, ""Meaning"": -3.0, ""Privacy"": 3.0}","{""Contact"": -12.0, ""Esteem"": -3.0, ""Family"": -6.0}",RELAcquaintanceChance
SOCBreakoutThrowPass,Throw a Pass,interactions2.json,False,0.75,False,,,2,us:Intimacy- us:Privacy+,-27.0,-18.0,"{""Contact"": -12.0, ""Family"": -6.0, ""Meaning"": -3.0, ""Privacy"": 3.0}","{""Contact"": -12.0, ""Esteem"": -6.0, ""Family"": -3.0, ""Intimacy"": -3.0, ""Meaning"": -3.0, ""Privacy"": 3.0, ""SelfRespect"": -3.0}",RELAcquaintanceChance
SOCBreakoutWarriorsSuck,Warriors suck. Go Shooters!,interactions2.json,False,0.75,False,,,2,us:Intimacy- us:Privacy+,-18.0,-18.0,"{""Contact"": -12.0, ""Family"": -6.0, ""Meaning"": -3.0, ""Privacy"": 3.0}","{""Contact"": -12.0, ""Esteem"": -3.0, ""Family"": -6.0, ""Privacy"": 3.0}",RELAcquaintanceChance
SOCBrowseSocialApp,Browse Social App,interactions2.json,True,1.0,True,,,2,us:Intimacy- us:Privacy+,0.0,-12.0,"{""Contact"": -12.0, ""Esteem"": -3.0, ""Family"": -3.0, ""Privacy"": 6.0}",{},
SOCBullshitFine,Hit them with Bullshit Fine,interactions2.json,False,,True,,,-1,no-effect,0.0,0.0,{},{},
SOCBurstLaughing,Burst Out Laughing,interactions2.json,False,0.75,False,,IsApathetic;IsHumorless,2,us:Intimacy- us:Privacy+,-21.0,-15.0,"{""Contact"": -6.0, ""Meaning"": -3.0, ""Security"": -6.0}","{""Contact"": -6.0, ""Family"": -6.0, ""Intimacy"": -3.0, ""Security"": -6.0}",RELAcquaintanceChance
SOCCalmDown,Calm Down,interactions2.json,True,1.0,True,,,3,us:Altruism- them:Security-,-6.0,-18.0,"{""Achievement"": -3.0, ""Altruism"": -6.0, ""Autonomy"": -3.0, ""Contact"": -3.0, ""Esteem"": -3.0}","{""Autonomy"": 6.0, ""Contact"": -3.0, ""Esteem"": 3.0, ""Family"": -3.0, ""Privacy"": 3.0, ""Security"": -12.0}",
SOCChangeSubject,Change the Subject,interactions2.json,False,1.0,False,,,0,them:Esteem+ them:SelfRespect+,9.0,-6.0,"{""Autonomy"": -6.0}","{""Autonomy"": 6.0, ""SelfRespect"": 3.0}",
SOCCommiserate,Commiserate,interactions2.json,True,0.75,False,IsApathetic;IsHonest;IsOblivious;IsPessimist;IsQuitter;IsSelfish,IsLiar;IsOptimist;IsSelfless,1,us:Esteem- us:Meaning-,0.0,-12.0,"{""Contact"": -3.0, ""Meaning"": -6.0, ""Privacy"": -3.0}","{""Altruism"": -3.0, ""Autonomy"": 3.0, ""Family"": -3.0, ""Intimacy"": -3.0, ""Meaning"": 6.0}",RELAcquaintanceChance
SOCComplainAboutLAs,Complain About Authorities,interactions_social_core.json,True,1.0,False,,,5,us:Security+ them:Autonomy-,0.0,0.0,"{""Autonomy"": -6.0, ""Security"": 6.0}","{""Autonomy"": -6.0, ""Security"": 6.0}",
SOCComplainAboutWork,Complain About Work,interactions.json,True,1.0,False,,,5,us:Security+ them:Autonomy-,0.0,0.0,"{""Autonomy"": -6.0, ""Security"": 6.0}","{""Autonomy"": -6.0, ""Security"": 6.0}",
SOCCoverShift,Cover Shift,interactions2.json,False,0.5,False,IsKind;IsSelfless,IsApathetic;IsCruel;IsOblivious;IsSelfish,3,us:Altruism- them:Security-,-15.0,-27.0,"{""Achievement"": -6.0, ""Altruism"": -12.0, ""Esteem"": -3.0, ""Family"": -6.0}","{""Esteem"": -6.0, ""Family"": -12.0, ""SelfRespect"": 3.0}",
SOCCraftDarkJoke,Original Dark Joke,interactions2.json,True,0.4,False,IsComedian,IsHumorless,3,us:Altruism- them:Security-,-9.0,-12.0,"{""Achievement"": -3.0, ""Altruism"": -6.0, ""Contact"": -3.0, ""Intimacy"": 6.0, ""Meaning"": -6.0, ""Privacy"": 3.0, ""SelfRespect"": -3.0}","{""Contact"": -12.0, ""Intimacy"": 6.0, ""Meaning"": -3.0}",
SOCDarkJoke,Dark Joke,interactions2.json,True,0.75,False,,,1,us:Esteem- us:Meaning-,-15.0,-37.0,"{""Achievement"": -3.0, ""Altruism"": -6.0, ""Contact"": -3.0, ""Intimacy"": 6.0, ""Meaning"": -31.0, ""Privacy"": 3.0, ""SelfRespect"": -3.0}","{""Autonomy"": -3.0, ""Contact"": -12.0, ""Esteem"": -3.0, ""Intimacy"": 6.0, ""Meaning"": -3.0}",RELAcquaintanceChance
SOCDaydreamExLover,Daydream About Ex-Lover,interactions2.json,False,1.0,True,,,2,us:Intimacy- us:Privacy+,0.0,3.0,"{""Achievement"": 3.0, ""Contact"": 3.0, ""Family"": 3.0, ""Intimacy"": -6.0}",{},
SOCDaydreamExLoverNPC,Daydream About Ex-Lover,interactions2.json,False,1.0,True,,,2,us:Intimacy- us:Privacy+,0.0,3.0,"{""Achievement"": 3.0, ""Contact"": 3.0, ""Family"": 3.0, ""Intimacy"": -6.0}",{},
SOCDefy,Defy,interactions2.json,False,1.0,False,IsApathetic;IsArrogant;IsBrave;IsGregarious;IsStubborn,IsComplacent;IsCraven;IsFollower;IsLoyal;IsPushover;IsQuitter;IsShy,0,them:Esteem+ them:SelfRespect+,21.0,-28.0,"{""Autonomy"": -31.0, ""Contact"": -3.0, ""Esteem"": 6.0, ""SelfRespect"": -6.0, ""Security"": 6.0}","{""Contact"": -3.0, ""Esteem"": 12.0, ""Family"": 6.0, ""Security"": 3.0, ""SelfRespect"": 3.0}",
SOCDisembarkCommand,Order Off-Ship,interactions2.json,False,1.0,True,,,-1,no-effect,0.0,0.0,{},{},
SOCDisembarkCommandAllow,Agree to Disembark,interactions2.json,False,1.0,True,,,-1,no-effect,0.0,0.0,{},{},
SOCDisembarkCommandFail,Refuse to Disembark,interactions2.json,False,1.0,True,,,-1,no-effect,0.0,0.0,{},{},
SOCDisembarkCommandNPCFail,Order Off-Ship,interactions2.json,False,1.0,True,,,-1,no-effect,0.0,0.0,{},{},
SOCDisembarkCommandStop,Cancel Order Off-Ship,interactions2.json,False,1.0,True,,,-1,no-effect,0.0,0.0,{},{},
SOCDisembarkCommandStopAllow,Agree to stop disembarking,interactions2.json,False,1.0,True,,,-1,no-effect,0.0,0.0,{},{},
SOCDoSuperstition,Do Superstition,interactions2.json,False,0.7,False,IsAgliophobic;IsAmbitious;IsApathetic;IsCraven;IsDiligent;IsFinicky;IsFollower;IsLoyal;IsOblivious;IsObservant;IsObtuse;IsPessimist;IsPushover;IsTrusting,IsComplacent;IsGenius;IsMasochist;IsOptimist,3,us:Altruism- them:Security-,-18.0,3.0,"{""Autonomy"": 6.0, ""Meaning"": -6.0, ""Privacy"": 3.0, ""Security"": -6.0, ""SelfRespect"": 3.0, ""Weird"": 3.0}","{""Achievement"": -6.0, ""Family"": -3.0, ""Meaning"": -6.0, ""Security"": -6.0, ""Weird"": 3.0}",RELAcquaintanceChance
SOCDontWorry,Don't Worry,interactions2.json,False,0.6,False,IsCharismatic;IsGenius;IsGregarious;IsHumble;IsKind;IsObservant;IsOptimist;IsPatient;IsSelfless,IsArrogant;IsCruel;IsImpatient;IsOblivious;IsPessimist;IsQuitter;IsRepulsive;IsSelfish;IsTreacherous,3,us:Altruism- them:Security-,-21.0,-18.0,"{""Altruism"": -6.0, ""Esteem"": -6.0, ""Intimacy"": -3.0, ""Meaning"": -3.0, ""Privacy"": 3.0, ""SelfRespect"": -3.0}","{""Esteem"": -3.0, ""Family"": -6.0, ""SelfRespect"": -12.0}",RELAcquaintanceChance
SOCEmbarkCommand,Order Return to Ship,interactions2.json,False,1.0,True,,,-1,no-effect,0.0,0.0,{},{},
SOCEmbarkCommandAllow,Agree to Embark,interactions2.json,False,1.0,True,,,-1,no-effect,0.0,0.0,{},{},
SOCEmbarkCommandStop,Cancel Order Return Ship,interactions2.json,False,1.0,True,,,-1,no-effect,0.0,0.0,{},{},
SOCEmbarkCommandStopAllow,Agree to stop embarking,interactions2.json,False,1.0,True,,,-1,no-effect,0.0,0.0,{},{},
SOCEmergStepAside,Step Aside,interactions2.json,False,0.8,False,IsAgliophobic;IsApathetic;IsComplacent;IsCraven;IsFollower;IsHumble;IsObservant;IsPushover;IsQuitter;IsShy;IsTrusting,IsAmbitious;IsArrogant;IsLeader;IsOblivious;IsStubborn,3,us:Altruism- them:Security-,-21.0,-6.0,"{""Achievement"": -6.0, ""Altruism"": -6.0, ""Autonomy"": 6.0}","{""Autonomy"": -6.0, ""Esteem"": -6.0, ""Meaning"": -6.0, ""SelfRespect"": -3.0}",
